dzial,lekcja,url,slowa_kluczowe
Przyroda,Fazy Księżyca,https://gigawiedza.pl/baza-wiedzy/klasa-4/przyroda-klasa-4,księżyc faza nów pełnia kwadra orbita satelita kosmos przyroda niebo astronomia noc zacmienie
Technika,Znaki Drogowe,https://gigawiedza.pl/baza-wiedzy/klasa-4/technika-klasa-4,znaki drogowe rower karta rowerowa ruch pieszy przepisy ulica technika bezpieczeństwo zakazu nakazu ostrzegawcze
Przedmioty,Klasa 5,https://gigawiedza.pl/baza-wiedzy/klasa-5,matematyka polski angielski bilogia geografia historia szkoła piąta klasa5 przedmioty materiały testy lekcje
Przedmioty,Klasa 6,https://gigawiedza.pl/baza-wiedzy/klasa-6,matematyka polski angielski biologia geografia historia szkoła szósta klasa6 przedmioty materiały testy lekcje
Przedmioty,Klasa 7,https://gigawiedza.pl/baza-wiedzy/klasa-7,matematyka polski angielski fizyka chemia historia szkoła siódma klasa7 przedmioty materiały testy lekcje
Przedmioty,Klasa 8,https://gigawiedza.pl/baza-wiedzy/klasa-8,matematyka polski angielski fizyka chemia historia szkoła ósma klasa8 egzamin przedmioty materiały lekcje
Przedmioty,Szkoła Ponadpodstawowa,https://gigawiedza.pl/baza-wiedzy/szkola-ponadpodstawowa,matematyka polski angielski liceum technikum zawodówka ponadpodstawowa przedmioty matura szkoła średnia klasa1
Język angielski,Czasy Angielskie,https://gigawiedza.pl/baza-wiedzy/szkola-ponadpodstawowa/jezyk-angielski-szkola-ponadpodstawowa,gramatyka czasy angielski english tenses present past future simple continuous perfect
Język angieslki,Słówka Zdania i Quizy,https://gigawiedza.pl/baza-wiedzy/szkola-ponadpodstawowa/jezyk-angielski-szkola-ponadpodstawowa,słownictwo słówka slowka test quiz zdania angielski english rozmówki komunikacja nauka nauczanie
Matematyka,Funkcja Analiza Miejsc Zerowych,https://gigawiedza.pl/baza-wiedzy/szkola-ponadpodstawowa/matematyka-szkola-ponadpodstawowa,funkcja miejsce zerowe analiza wykres oś x y matma równanie matematyka liceum dziedzina
Matematyka,Funkcja Wykresy,https://gigawiedza.pl/baza-wiedzy/szkola-ponadpodstawowa/matematyka-szkola-ponadpodstawowa,funkcja wykres parabola prosta rysowanie układ współrzędnych osie matma matematyka rysowanie
Język polski,Quizy z lektur,https://gigawiedza.pl/baza-wiedzy/szkola-ponadpodstawowa/jezyk-polski-szkola-ponadpodstawowa,lektury quizy szczegółowe test książka streszczenie polski pytania znajomość fabuły lektura gra egzamin
Strefa Relaksu,Warcaby,https://gigawiedza.pl/baza-wiedzy/strefa-relaksu,gra warcaby planszowa relaks rozrywka strefa wolny czas zabawa pionki logika plansza gry
Strefa Relaksu,Memory,https://gigawiedza.pl/baza-wiedzy/strefa-relaksu,memory pamięć gra kafelki parowanie obrazki relaks rozrywka mózg ćwiczenie strefa gry
Strefa Relaksu,Zgadnij Słowo,https://gigawiedza.pl/baza-wiedzy/strefa-relaksu,zgadnij słowo wordle wisielec gra litery słowa języki zagadka relaks rozrywka strefa gry
Strefa Relaksu,Kółko i Krzyżyk,https://gigawiedza.pl/baza-wiedzy/strefa-relaksu,kółko krzyżyk gra planszowa rozrywka relaks strefa kólko krzyzyk tictactoe szybka gra gry
Streaf IT,Nauczanie IT AI i ML,https://it.gigawiedza.pl,informatyka programowanie it komputery sztuczna inteligencja coding kod nauka technologie ml ai
Strefa Języków,Nauczanie Języków Obcych,https://jezyki.gigawiedza.pl/,języki języków obcych nauka języka angielski niemiecki hiszpański lingwistyka kurs szkoła poliglota
Strefa IT,Kurs Streamlit,https://it.gigawiedza.pl/kursy/kurs-streamlit,streamlit kurs python python strona aplikacja webowa dane dashboard data science programowanie it coding
Strefa IT,Akademia Wordpress,https://it.gigawiedza.pl/kursy/akademia-wordpress,wordpress strona www tworzenie stron cms akademia kurs blog technika it sklep internetowy wp
Strefa IT,Python w IT i AI,https://it.gigawiedza.pl/sztuczna-inteligencja-data/python-w-ai-ml,python programowanie kod nauka pythona sztuczna inteligencja skrypty backend deweloper it ai ml coding
Strefa IT,Uczene Maszyowe ML,https://it.gigawiedza.pl/sztuczna-inteligencja-data/uczenie-maszynowe-ml,machine learning uczenie maszynowe ml dane data science algorytmy modele sieci neuronowe it maszyowe
Strefa IT,Sztuczna Inteligencja AI,https://it.gigawiedza.pl/sztuczna-inteligencja-data/sztuczna-inteligencja-ai,sztuczna inteligencja ai artificial intelligence chatgpt openai komputery przyszłość technologia it
Strefa IT,Angielski Branżowy,https://it.gigawiedza.pl/angielski-branzowy,slang biurowy angielski biznesowy business english praca korpomowa korpo it biuro profesjonalny branżowy
Strefa Języków,Jezyki Świata,https://jezyki.gigawiedza.pl/jezyki-swiata,hiszpanski włoski niemiecki angielski francuski języki swiata lingwistyka mowa Europa kraje nauka obce
Strefa Języków,Języki Sąsiadów,https://jezyki.gigawiedza.pl/jezyki-sasiadow,czeski słowacki rumuński wegierski sąsiedzi granica polski nauka słowa bliskie języki sasiadow
Strefa Języków,Angielski w IT i AI,https://jezyki.gigawiedza.pl/angielski-w-it-ai,slang biurowy angielski it tech english programowanie komputery praca korpomowa słownictwo techniczne ponglish
Matematyka,Egzamin Ósmoklasisty,https://gigawiedza.pl/baza-wiedzy/klasa-8/matematyka-klasa-8,egzamin ósmoklasisty arkusz diagnostyczny diagnoza e8 E8 próbny arkusz powtórka materiału repetytorium przygotowanie
